INSTNM,STABBR,IS_PUBLIC,Affordability_Score,Access_Score,Outcomes_Score,Overall_Score
Northeastern State University,OK,1,0.6696287252046236,0.9019417483007112,0.33407307486299137,0.6352145161227755
SUNY Old Westbury,NY,1,0.6577382241488463,0.8356250408135495,0.4120142290784939,0.6351258313469632
Erie Community College,NY,1,0.750874598499396,0.7845162913921093,0.36986946546983335,0.6350867851204463
J Sargeant Reynolds Community College,VA,1,0.7553303622256484,0.7846059061568487,0.365117261079705,0.6350178431540674
Leeward Community College,HI,1,0.7487802526205772,0.7900381076850262,0.36615217315995663,0.6349901778218534
University of Holy Cross,LA,0,0.6480436845493518,0.8877476310353121,0.3690389126765141,0.6349434094203926
Hill College,TX,1,0.7774686050628885,0.7619160799868265,0.36523753464578834,0.6348740732318344
Golden West College,CA,1,0.742807431672057,0.7863404497499737,0.3752314288694073,0.6347931034304793
Career Networks Institute,CA,0,0.653683861655598,0.7733936373256549,0.47687425540749295,0.6346505847962486
Loma Linda University,CA,0,0.653683861655598,0.7441960401247314,0.5057730010246048,0.6345509676016446
Yuba College,CA,1,0.7603053394129142,0.7779951679917236,0.36518159345226114,0.6344940336189663
San Diego Mesa College,CA,1,0.7472243166226841,0.7753428457010684,0.3807556217302098,0.6344409280179875
Minneapolis Community and Technical College,MN,1,0.7332164753333099,0.803110326847179,0.36667522331943514,0.6343340084999748
Rush University,IL,0,0.653683861655598,0.7840814565727006,0.46487439443693157,0.6342132375550767
Denver College of Nursing,CO,0,0.653683861655598,0.7654322984727218,0.4833769441960245,0.6341643681081147
Cleveland Community College,NC,1,0.8937996401948957,0.6596486181943084,0.34896703850842714,0.6341384322992104
Miami Ad School,FL,0,0.6540569960849755,0.6966781419593043,0.5515776502846059,0.6341042627762953
Saint Paul College,MN,1,0.7378843495836624,0.802161225958587,0.36195658364542305,0.6340007197292242
Pennsylvania State University-Penn State Abington,PA,1,0.5931045282183667,0.8689861416960007,0.43945489492828493,0.6338485216142175
Concorde Career College-Garden Grove,CA,0,0.653683861655598,0.8651290832614807,0.382408683998936,0.633740542972005
Forsyth Technical Community College,NC,1,0.7776985114350321,0.7733037836091559,0.35004110942414773,0.6336811348227785
Chamberlain University-New Jersey,NJ,0,0.5797400898163182,0.8218352275415074,0.49872702430656024,0.6334341138881286
Inver Hills Community College,MN,1,0.7555596607249238,0.7504406915661068,0.3941199728638374,0.6333734417182894
Central Wyoming College,WY,1,0.7058193445508747,0.786203426105011,0.4080040149090896,0.6333422618549918
Milwaukee Area Technical College,WI,1,0.7342808227532897,0.795980493080443,0.36954780360705247,0.6332697064802618
College of Southern Nevada,NV,1,0.7325949654629059,0.8059400442163988,0.3610839010264001,0.6332063035685683
Windward Community College,HI,1,0.7432677903905581,0.7937768426221776,0.3620684660324773,0.6330376996817377
United States University,CA,0,0.6829139899047847,0.7351009157239222,0.4810581817243257,0.6330243624510109
Coastline Community College,CA,1,0.7027626032621948,0.816773846986163,0.37897389471637116,0.6328367816549096
MiraCosta College,CA,1,0.7236836348960302,0.7539247840232148,0.42039866189618585,0.632669026938477
Marshalltown Community College,IA,1,0.7682021802811869,0.7601488423837134,0.3692597064603878,0.6325369097084294
College of DuPage,IL,1,0.7308626763361794,0.7809333792292741,0.38575956149121016,0.6325185390188879
Rowan College of South Jersey-Cumberland Campus,NJ,1,0.7772022772738607,0.7489772542009467,0.37133232768056734,0.6325039530517916
California State University-Fresno,CA,1,0.6584915458983086,0.8026916720921438,0.4360223040113763,0.6324018406672763
New York Medical Career Training Center,NY,0,0.653683861655598,0.8752098840019583,0.3679450884125006,0.6322796113566856
Skagit Valley College,WA,1,0.7553944955655102,0.7648092216587197,0.3762383703528953,0.6321473625257084
Sessions College for Professional Design,AZ,0,0.6962285600976983,0.7362679963279524,0.46357563517625977,0.6320240638673035
Contra Costa College,CA,1,0.7342612033917616,0.7928365367162582,0.3688121769121709,0.6319699723400635
Western Iowa Tech Community College,IA,1,0.7687164715418879,0.7591469687890513,0.3677576854141848,0.631873708581708
University of Hawaii-West Oahu,HI,1,0.6525839587412993,0.8658449178776868,0.37648642364018087,0.6316384334197223
Unitek College,CA,0,0.653683861655598,0.740872505777589,0.500349502312151,0.6316352899151126
Concorde Career College-Kansas City,MO,0,0.653683861655598,0.8880132420646427,0.3531262662471681,0.6316077899891362
Garden City Community College,KS,1,0.7686832658957344,0.7547106098032976,0.3712008658757787,0.6315315805249369
College of the Canyons,CA,1,0.7653627922342019,0.7373421302295516,0.3916697485873498,0.6314582236837011
Southwestern Oklahoma State University,OK,1,0.7019675219526631,0.8308703437865532,0.36147400566315957,0.6314372904674587
College of Southern Maryland,MD,1,0.7469366527028307,0.7684962059182303,0.3788396358519061,0.6314241648243224
Moody Bible Institute,IL,0,0.6255902912723408,0.8306056518250338,0.4379160391650062,0.631370660754127
North Shore Community College,MA,1,0.7441898043706467,0.7683520520739743,0.3815136249025022,0.6313518271157078
Saint Cloud State University,MN,1,0.7038858446492233,0.8069673372848462,0.38289818245941853,0.6312504547978294
Bladen Community College,NC,1,0.7712021642226181,0.7822917521549784,0.3401171416924377,0.6312036860233446
Henry Ford College,MI,1,0.8003276692608844,0.7410985803311365,0.35187598057183705,0.6311007433879526
Moraine Valley Community College,IL,1,0.7599595998065138,0.7558744791282077,0.377320832447645,0.6310516371274555
NorthWest Arkansas Community College,AR,1,0.8031876223241056,0.7132831388165675,0.3762383703528953,0.6309030438311894
Chattahoochee Technical College,GA,1,0.780229299335751,0.7540114583871436,0.35842949139353847,0.630890083038811
University of Hawaii at Hilo,HI,1,0.6354637850817698,0.8892412935092747,0.367727994292564,0.6308110242945362
College of Staten Island CUNY,NY,1,0.7138838941276426,0.7699196799412386,0.4084339839025833,0.6307458526571549
University of Maine at Presque Isle,ME,1,0.6914970747849217,0.8404418988433953,0.36017412373093727,0.6307043657864181
Lone Star College System,TX,1,0.7395429656030306,0.7787933708030353,0.3733322253491617,0.6305561872517426
Los Medanos College,CA,1,0.7399339518710791,0.7784060643724969,0.37329866063304545,0.6305462256255405
Everett Community College,WA,1,0.6993882857885183,0.8100352123490442,0.38163389846858553,0.6303524655353826
Beulah Heights University,GA,0,0.8038085263072039,0.7923981844739598,0.29480389836545495,0.6303368697155395
